user_id,time_seq,time_point,cate_8_time_point,lookcate8num,lookcate8brandnum
200240,41,21,8,30,3
200241,64,17,10,48,5
200242,74,51,20,50,6
200243,61,12,11,22,4
200244,72,5,5,17,8
200245,47,15,7,9,3
200246,35,21,7,10,7
200247,73,11,7,11,6
200248,60,52,20,25,9
200249,73,2,2,1,1
200250,22,4,4,6,6
200251,31,14,4,4,3
200252,49,12,8,6,3
200253,41,7,7,20,10
200254,67,22,16,39,9
200255,37,8,7,11,6
200256,33,9,8,29,6
200257,65,26,10,30,6
200258,12,6,2,1,1
200259,74,12,8,5,2
200260,71,55,12,14,6
200261,50,5,5,5,3
200262,49,6,6,38,3
200263,67,12,9,8,2
200264,35,10,9,8,3
200265,31,13,9,28,3
200266,61,16,7,14,7
200267,22,8,8,19,2
200268,34,20,7,21,7
200269,43,33,8,7,3
200270,71,12,12,19,3
200271,59,16,10,17,2
200272,51,6,6,18,8
200273,72,12,5,6,5
200274,71,25,3,4,3
200275,53,12,4,20,7
200276,57,18,11,26,5
200277,61,9,8,9,3
200278,59,12,10,32,11
200279,58,33,11,13,2
200280,72,11,9,2,2
200281,45,2,2,6,2
200282,68,9,7,27,9
200283,33,14,6,12,4
200284,26,8,7,12,8
200285,43,15,11,10,4
200286,39,8,5,8,6
200287,45,38,9,11,5
200288,0,1,1,6,4
200289,1,4,1,4,3
200290,57,30,13,65,5
200291,56,2,2,3,2
200292,60,9,7,33,8
200293,35,3,3,6,1
200294,45,10,7,11,2
200295,0,1,0,0,0
200296,73,19,14,30,11
200297,19,5,5,6,4
200298,72,9,4,15,1
200299,0,3,0,0,0
200300,39,11,5,8,3
200301,56,27,11,14,1
200302,39,5,5,13,5
200303,14,1,1,2,2
200304,37,3,1,7,5
200305,33,5,5,10,3
200306,60,11,10,24,9
200307,51,2,2,3,3
200308,31,4,2,4,2
200309,47,9,8,17,6
200310,72,8,8,11,5
200311,57,6,6,11,4
200312,53,15,6,16,1
200313,72,3,2,2,2
200314,68,16,6,4,2
200315,46,9,8,12,7
200316,35,6,5,1,1
200317,65,6,3,3,2
200318,17,10,5,25,6
200319,2,25,2,3,2
200320,66,19,8,10,4
200321,38,9,6,19,7
200322,42,19,10,26,8
200323,74,4,3,2,1
200324,59,22,4,11,2
200325,0,0,0,0,0
200326,65,3,3,2,1
200327,67,26,11,32,6
200328,72,40,12,10,2
200329,41,16,12,10,3
200330,40,8,8,22,5
200331,60,21,2,3,2
200332,73,13,10,16,9
200333,52,2,1,1,1
200334,55,7,7,16,9
200335,42,11,7,11,4
200336,55,46,8,52,9
200337,33,13,6,31,8
200338,61,2,2,3,2
200339,13,1,1,4,1
200340,60,3,3,4,3
200341,52,5,2,2,2
200342,49,14,14,26,8
200343,48,13,6,23,7
200344,53,4,2,3,3
200345,13,5,3,8,2
200346,73,19,11,21,10
200347,62,8,5,9,5
200348,52,15,10,23,5
200349,52,9,9,17,10
200350,73,6,5,9,1
200351,55,7,6,27,12
200352,72,20,2,5,4
200353,45,10,6,10,5
200354,57,6,6,9,5
200355,43,16,7,19,5
200356,62,8,3,3,2
200357,25,14,7,20,6
200358,37,1,1,1,1
200359,54,14,6,8,3
200360,74,31,8,8,4
200361,74,15,12,18,7
200362,70,33,3,12,3
200363,67,13,12,32,6
200364,69,30,6,21,7
200365,34,12,3,19,5
200366,72,8,4,14,5
200367,31,11,8,23,3
200368,10,3,3,5,4
200369,38,5,2,3,2
200370,18,3,3,32,5
200371,23,5,5,8,5
200372,27,4,4,13,6
200373,47,16,4,16,3
200374,10,9,5,10,4
200375,44,36,8,28,2
200376,71,54,28,46,12
200377,69,12,12,27,14
200378,18,4,4,5,4
200379,33,29,8,12,6
200380,18,5,4,16,1
200381,72,19,14,23,10
200382,32,18,9,36,14
200383,6,4,3,2,2
200384,68,9,5,4,3
200385,48,17,9,30,4
200386,14,7,4,19,10
200387,63,5,5,7,3
200388,31,5,4,9,4
200389,28,9,6,18,8
200390,71,38,5,16,5
200391,1,2,1,6,2
200392,72,5,3,5,3
200393,62,7,6,26,5
200394,40,26,4,10,2
200395,66,36,8,7,4
200396,43,5,2,13,6
200397,62,7,7,22,1
200398,36,24,9,7,5
200399,73,24,7,29,2
200400,66,16,12,17,7
200401,56,19,13,19,10
200402,45,4,4,7,2
200403,51,8,8,15,5
200404,74,12,11,3,2
200405,74,17,12,35,4
200406,19,10,10,17,2
200407,17,13,7,3,2
200408,50,11,11,40,8
200409,40,8,8,50,9
200410,74,2,2,3,2
200411,51,14,9,13,7
200412,39,4,3,18,3
200413,74,51,25,63,6
200414,72,20,5,8,4
200415,45,8,8,9,2
200416,45,11,6,19,4
200417,21,6,6,3,2
200418,57,6,4,5,4
200419,71,23,11,26,4
200420,50,4,4,6,4
200421,65,9,6,15,4
200422,3,4,2,3,1
200423,53,6,3,3,2
200424,73,4,4,12,7
200425,47,8,5,9,2
200426,45,16,8,35,3
200427,47,6,5,11,8
200428,45,8,4,8,6
200429,45,34,14,22,7
200430,0,0,0,0,0
200431,61,40,7,9,3
200432,19,10,7,6,4
200433,72,7,7,18,3
200434,24,3,2,2,2
200435,50,18,6,8,5
200436,43,6,6,34,6
200437,37,4,3,5,1
200438,23,4,4,4,3
200439,49,2,2,2,1
200440,63,9,9,25,8
200441,31,3,1,1,1
200442,44,14,7,12,3
200443,48,13,9,14,2
200444,49,1,1,1,1
200445,14,1,1,2,2
200446,51,20,15,60,7
200447,70,34,10,12,4
200448,54,15,11,22,6
200449,28,17,4,2,2
200450,61,3,3,1,1
200451,50,10,5,14,4
200452,66,22,12,23,10
200453,0,0,0,0,0
200454,63,15,12,33,12
200455,21,2,2,17,1
200456,74,39,16,51,11
200457,57,14,5,24,3
200458,10,5,4,18,6
200459,7,4,4,9,4
200460,40,14,5,6,4
200461,48,6,4,4,1
200462,64,13,13,19,6
200463,72,6,2,3,1
200464,59,8,8,13,6
200465,54,7,5,5,2
200466,68,11,6,21,8
200467,8,11,7,7,1
200468,42,9,6,11,4
200469,60,13,5,26,1
200470,32,27,9,10,7
200471,47,47,8,5,1
200472,62,12,6,22,9
200473,47,4,2,4,4
200474,55,10,10,17,6
200475,70,46,16,25,12
200476,47,11,6,17,7
200477,70,9,9,60,8
200478,39,8,5,12,7
200479,29,8,6,6,2
200480,20,23,7,13,4
200481,22,4,2,4,2
200482,34,17,15,33,8
200483,31,13,11,10,5
200484,72,3,2,3,3
200485,71,7,3,10,5
200486,43,46,5,7,4
200487,41,15,9,15,5
200488,1,1,1,1,1
200489,40,2,2,5,3
200490,41,15,14,14,3
200491,53,5,5,13,2
200492,72,20,7,7,5
200493,44,17,6,3,2
200494,50,7,6,10,3
200495,30,9,7,12,6
200496,73,28,14,58,12
200497,21,10,6,21,7
200498,14,6,6,20,2
200499,40,4,4,4,2
200500,35,15,6,10,2
200501,40,8,7,46,9
200502,17,5,1,1,1
200503,66,17,4,4,1
200504,60,7,7,9,3
200505,12,3,2,3,2
200506,57,7,7,14,3
200507,73,26,7,9,5
200508,58,9,9,22,1
200509,54,3,3,7,5
200510,42,27,13,28,10
200511,43,9,2,3,3
200512,3,7,4,11,5
200513,54,7,6,17,1
200514,30,2,2,5,2
200515,61,9,5,15,5
200516,23,13,8,14,7
200517,68,6,3,2,1
200518,53,6,6,7,4
200519,32,15,9,13,6
200520,35,12,11,13,2
200521,50,5,4,9,6
200522,64,10,8,27,8
200523,55,6,3,12,8
200524,20,6,5,8,4
200525,34,13,5,6,3
200526,4,4,3,21,3
200527,35,4,3,5,2
200528,73,17,3,3,3
200529,39,9,3,4,3
200530,55,5,4,9,3
200531,21,11,6,12,4
200532,41,12,5,5,5
200533,54,6,3,3,2
200534,31,4,2,5,5
200535,74,19,12,28,9
200536,70,4,3,6,5
200537,60,3,3,3,1
200538,40,9,5,9,6
200539,57,11,2,4,2
200540,66,17,14,22,4
200541,74,13,5,4,3
200542,73,11,8,19,6
200543,68,14,5,6,3
200544,53,26,5,22,7
200545,63,3,2,2,2
200546,72,13,9,31,8
200547,71,4,4,9,2
200548,8,13,2,5,1
200549,42,10,3,5,1
200550,47,4,4,6,1
200551,52,3,2,2,2
200552,20,4,3,4,3
200553,0,0,0,0,0
200554,70,5,5,4,1
200555,49,8,4,32,11
200556,31,7,5,8,3
200557,58,9,9,23,6
200558,52,4,3,4,1
200559,63,35,12,17,8
200560,40,3,3,11,3
200561,29,15,2,2,2
200562,59,8,8,5,3
200563,63,10,2,2,2
200564,63,19,9,11,5
200565,65,6,6,14,7
200566,56,7,5,15,5
200567,25,2,2,2,2
200568,54,14,8,10,2
200569,72,10,4,18,7
200570,32,5,4,8,2
200571,36,10,7,20,8
200572,60,2,2,2,1
200573,63,11,11,17,8
200574,50,38,10,9,3
200575,63,9,2,5,2
200576,8,21,2,11,1
200577,26,10,3,4,3
200578,46,14,3,8,5
200579,23,6,1,1,1
200580,59,6,5,5,3
200581,61,1,1,1,1
200582,37,9,8,16,5
200583,1,7,1,1,1
200584,33,5,3,5,5
200585,62,14,6,4,4
200586,50,7,7,21,9
200587,38,6,5,8,7
200588,23,5,2,5,2
200589,33,9,8,3,2
200590,50,9,4,11,3
200591,72,9,6,24,5
200592,12,6,6,11,4
200593,48,10,5,8,4
200594,42,10,8,21,6
200595,25,3,3,9,2
200596,74,5,3,7,4
200597,60,12,9,29,10
200598,47,10,8,17,3
200599,3,2,2,7,3
200600,31,23,9,6,1
200601,53,3,2,4,2
200602,72,16,8,15,2
200603,63,12,9,16,4
200604,62,12,11,45,14
200605,55,11,8,11,4
200606,68,10,10,21,3
200607,54,10,8,14,6
200608,63,31,12,20,3
200609,50,10,8,10,5
200610,36,9,9,9,2
200611,74,7,3,4,1
200612,25,2,2,4,2
200613,3,2,2,2,1
200614,24,4,4,18,9
200615,62,9,5,12,1
200616,1,1,1,2,2
200617,65,9,8,25,3
200618,35,19,4,3,3
200619,34,16,8,18,5
200620,72,5,4,6,5
200621,61,9,3,8,3
200622,60,8,8,7,5
200623,28,8,8,22,3
200624,74,9,7,19,6
200625,55,5,5,9,5
200626,6,6,4,45,10
200627,74,27,12,19,5
200628,29,27,10,36,7
200629,51,5,5,24,3
200630,42,20,6,22,4
200631,63,4,4,14,10
200632,1,5,1,6,3
200633,49,17,11,43,11
200634,28,4,2,5,2
200635,32,8,5,17,3
200636,71,16,10,28,11
200637,50,5,5,2,2
200638,41,10,6,11,2
200639,21,8,7,20,7
200640,53,2,2,3,2
200641,32,24,5,12,6
200642,46,17,7,11,6
200643,73,2,2,10,2
200644,69,8,5,8,3
200645,47,9,8,12,7
200646,56,14,9,21,5
200647,66,4,4,22,4
200648,35,25,6,10,5
200649,2,7,2,5,3
200650,28,23,5,5,1
200651,11,3,2,3,1
200652,12,2,2,18,4
200653,67,5,2,2,1
200654,45,12,4,15,1
200655,41,26,15,35,9
200656,71,8,6,6,5
200657,5,2,2,10,2
200658,70,22,10,28,8
200659,13,8,4,6,3
200660,74,4,4,7,2
200661,34,3,3,5,2
200662,55,8,6,36,8
200663,1,1,1,6,5
200664,69,36,12,22,7
200665,65,8,7,55,9
200666,53,9,7,19,8
200667,43,12,8,21,1
200668,53,11,5,8,2
200669,46,8,7,9,4
200670,51,18,11,51,6
200671,45,14,5,5,3
200672,10,5,4,25,9
200673,52,8,4,5,2
200674,10,13,9,39,11
200675,55,15,6,39,3
200676,70,9,5,3,2
200677,72,17,5,5,2
200678,4,4,3,3,1
200679,53,12,9,21,8
200680,61,13,5,5,3
200681,16,2,1,1,1
200682,67,10,9,13,3
200683,24,6,5,21,2
200684,16,19,1,1,1
200685,65,6,2,2,1
200686,67,3,2,4,3
200687,24,1,1,2,2
200688,42,6,3,10,5
200689,74,28,10,27,6
200690,0,1,1,1,1
200691,74,6,6,8,3
200692,34,23,4,4,3
200693,55,9,9,25,8
200694,67,14,3,6,3
200695,74,2,2,2,2
200696,24,4,3,6,3
200697,28,21,3,6,4
200698,74,7,5,6,2
200699,70,2,2,1,1
200700,39,37,5,5,4
200701,7,16,5,18,9
200702,64,7,3,3,1
200703,54,10,4,4,4
200704,49,2,2,1,1
200705,74,22,6,9,6
200706,74,8,7,15,4
200707,1,1,1,5,2
200708,32,4,3,4,2
200709,52,12,6,10,3
200710,18,7,5,4,1
200711,73,9,8,20,10
200712,2,2,2,11,6
200713,43,5,5,6,4
200714,74,4,4,10,4
200715,36,9,5,19,5
200716,8,12,2,4,1
200717,1,1,1,8,4
200718,34,8,7,8,3
200719,1,1,1,1,1
200720,34,5,5,8,2
200721,45,9,8,19,8
200722,48,6,6,4,1
200723,48,12,5,8,5
200724,72,13,7,8,5
200725,34,7,3,9,4
200726,8,10,4,6,2
200727,44,3,2,2,1
200728,10,7,4,11,7
200729,46,6,5,7,2
200730,29,17,4,10,6
200731,40,18,9,22,6
200732,29,21,10,12,6
200733,26,10,7,15,8
200734,73,4,3,30,5
200735,46,4,1,1,1
200736,0,0,0,0,0
200737,32,6,5,11,6
200738,1,1,1,10,3
200739,70,10,6,11,4
200740,14,2,2,13,2
200741,51,26,4,10,6
200742,43,5,4,6,6
200743,32,4,3,4,1
200744,74,3,3,6,2
200745,21,4,4,13,4
200746,41,5,4,24,2
200747,18,5,1,3,1
200748,66,10,3,4,4
200749,32,12,7,2,1
200750,6,3,3,3,2
200751,62,8,4,6,3
200752,53,20,6,12,3
200753,67,10,6,15,6
200754,74,7,4,11,4
200755,53,5,5,10,6
200756,3,3,2,8,3
200757,53,5,5,18,4
200758,65,20,6,6,6
200759,3,6,3,7,3
200760,20,11,9,62,3
200761,60,9,3,5,1
200762,56,22,15,44,11
200763,34,17,4,3,2
200764,0,0,0,0,0
200765,37,2,2,4,2
200766,74,6,5,7,2
200767,51,13,11,5,2
200768,40,11,6,23,5
200769,60,2,2,2,1
200770,55,6,6,5,2
200771,36,8,5,7,5
200772,67,22,5,9,3
200773,47,7,3,7,4
200774,54,6,6,28,11
200775,33,3,2,3,2
200776,10,8,4,5,1
200777,35,13,5,29,8
200778,11,13,2,10,3
200779,34,24,4,6,4
200780,59,18,12,26,6
200781,74,28,13,29,7
200782,23,7,4,9,3
200783,8,5,2,4,2
200784,72,8,6,13,5
200785,37,11,8,12,5
200786,60,12,9,5,2
200787,73,8,4,12,6
200788,30,5,5,30,8
200789,53,16,6,15,1
200790,74,2,2,10,5
200791,61,4,3,4,3
200792,63,9,9,29,10
200793,11,4,4,12,5
200794,3,2,2,4,2
200795,59,6,4,8,4
200796,58,7,7,14,3
200797,65,10,5,11,7
200798,74,11,6,21,6
200799,39,1,1,1,0
200800,36,2,2,4,3
200801,43,8,2,8,5
200802,74,2,2,4,1
200803,66,8,7,14,3
200804,73,5,4,3,1
200805,74,6,3,4,1
200806,32,11,9,27,4
200807,73,8,7,9,4
200808,0,0,0,0,0
200809,63,2,2,12,4
200810,49,11,5,38,6
200811,18,8,3,3,2
200812,44,33,9,10,7
200813,3,2,1,12,4
200814,7,4,2,6,2
200815,26,13,2,2,2
200816,19,2,1,1,1
200817,26,9,6,9,5
200818,61,44,14,20,6
200819,55,2,2,5,2
200820,12,6,6,32,8
200821,58,5,3,7,2
200822,19,5,5,24,11
200823,73,24,6,12,4
200824,69,17,7,8,6
200825,30,5,2,3,2
200826,55,8,5,15,7
200827,41,20,6,14,4
200828,72,6,6,25,7
200829,74,8,6,15,5
200830,14,6,1,10,1
200831,32,3,3,10,1
200832,74,2,2,3,1
200833,0,0,0,0,0
200834,14,12,3,8,2
200835,52,16,4,4,3
200836,26,1,1,3,2
200837,73,27,9,32,10
200838,50,11,2,4,3
200839,33,6,3,5,3
200840,26,2,2,1,1
200841,55,3,3,11,1
200842,74,2,2,6,2
200843,64,16,6,9,5
200844,59,26,9,26,6
200845,21,16,10,12,6
200846,66,4,3,8,3
200847,71,5,3,13,7
200848,68,20,2,2,2
200849,9,2,1,1,0
200850,19,3,3,7,4
200851,69,11,8,17,9
200852,37,23,6,25,8
200853,73,16,6,15,7
200854,66,16,10,20,2
200855,8,3,1,1,1
200856,64,9,5,25,5
200857,32,9,6,16,7
200858,52,3,2,11,1
200859,32,17,6,25,5
200860,47,30,7,9,2
200861,1,1,1,1,1
200862,74,15,9,24,11
200863,48,10,5,15,5
200864,51,4,3,7,6
200865,60,13,6,19,7
200866,73,10,7,29,7
200867,46,5,5,8,2
200868,31,18,10,19,5
200869,49,12,3,18,8
200870,32,5,4,9,8
200871,71,19,5,22,6
200872,65,3,3,4,3
200873,73,7,7,53,12
200874,62,5,3,8,3
200875,50,2,2,3,1
200876,28,10,4,9,4
200877,53,13,6,26,5
200878,66,9,5,11,4
200879,41,12,7,23,6
200880,32,2,2,2,2
200881,57,20,8,22,6
200882,61,3,3,8,1
200883,62,12,11,20,5
200884,1,2,1,4,3
200885,74,21,10,17,3
200886,42,3,3,3,1
200887,27,37,6,9,2
200888,64,5,2,9,6
200889,23,7,2,3,2
200890,30,15,7,21,5
200891,17,3,3,9,5
200892,73,3,3,19,5
200893,60,3,3,14,5
200894,69,10,10,8,1
200895,39,11,7,13,6
200896,72,23,19,50,9
200897,34,18,15,32,7
200898,72,4,4,4,3
200899,64,21,10,14,6
200900,70,42,9,11,6
200901,30,15,10,25,6
200902,8,5,5,12,6
200903,10,6,5,6,1
200904,26,6,6,10,5
200905,73,4,4,4,2
200906,41,14,14,22,4
200907,59,28,11,23,5
200908,73,10,3,8,2
200909,1,1,1,1,1
200910,27,2,2,4,1
200911,12,7,3,20,4
200912,64,21,13,31,1
200913,73,24,6,13,5
200914,50,16,8,34,2
200915,70,19,13,84,15
200916,52,3,3,3,2
200917,44,16,8,8,2
200918,70,15,8,40,11
200919,61,2,2,14,7
200920,62,8,7,24,11
200921,1,1,1,2,2
200922,31,7,6,5,2
200923,39,12,10,61,9
200924,64,12,4,10,5
200925,47,8,5,4,3
200926,38,7,6,6,1
200927,59,11,6,67,17
200928,50,9,3,3,3
200929,43,15,7,10,4
200930,73,3,3,4,1
200931,52,12,6,12,4
200932,33,3,3,5,4
200933,73,3,3,20,6
200934,34,20,7,19,7
200935,18,5,5,13,2
200936,7,3,3,3,2
200937,48,20,16,27,10
200938,55,18,8,18,6
200939,65,35,7,10,5
200940,74,11,11,1,1
200941,53,1,1,2,1
200942,33,1,1,1,1
200943,64,11,9,26,8
200944,73,3,3,8,4
200945,4,11,3,23,8
200946,43,16,9,18,10
200947,14,15,6,19,7
200948,44,10,5,7,5
200949,45,6,5,20,7
200950,59,7,4,12,3
200951,52,9,4,3,1
200952,72,4,3,4,4
200953,73,4,3,4,3
200954,32,3,3,3,2
200955,48,10,3,2,2
200956,71,11,9,8,3
200957,72,13,7,9,2
200958,10,2,2,7,5
200959,70,3,2,4,2
200960,-1,2,0,0,0
200961,72,3,3,23,10
200962,72,14,10,31,10
200963,64,4,4,13,4
200964,54,11,11,21,6
200965,57,14,9,23,6
200966,54,24,6,6,6
200967,73,11,7,10,4
200968,73,4,3,4,1
200969,69,5,1,1,1
200970,40,5,2,12,6
200971,72,6,4,38,6
200972,71,15,9,11,6
200973,72,12,9,25,7
200974,64,4,4,7,3
200975,-1,4,0,0,0
200976,71,2,2,1,1
200977,36,6,6,5,3
200978,72,4,3,3,3
200979,34,15,9,18,7
200980,73,14,7,16,6
200981,69,3,3,4,3
200982,65,10,5,9,1
200983,66,6,6,13,3
200984,37,11,5,27,11
200985,29,9,2,10,3
200986,73,3,3,1,1
200987,32,13,8,38,9
200988,74,14,14,4,2
200989,31,11,6,6,5
200990,32,6,4,10,3
200991,70,19,7,6,5
200992,32,7,5,12,3
200993,33,5,3,3,3
200994,71,13,4,17,4
200995,70,10,10,15,4
200996,60,3,3,11,4
200997,33,20,15,33,9
200998,71,9,5,23,9
200999,11,5,2,6,3
201000,72,19,10,9,2
201001,13,8,8,22,1
201002,73,4,4,9,4
201003,71,4,4,5,4
201004,41,4,3,4,1
201005,37,31,6,16,5
201006,63,4,3,11,3
201007,73,21,14,21,4
201008,72,15,6,14,5
201009,26,12,11,27,8
201010,14,3,3,15,6
201011,74,14,12,21,4
201012,72,8,8,18,5
201013,51,14,6,10,4
201014,46,16,6,6,4
201015,72,7,7,13,3
201016,61,24,7,15,7
201017,27,14,6,19,8
201018,6,7,4,9,1
201019,69,5,5,15,8
201020,1,1,1,8,3
201021,59,34,15,43,2
201022,41,2,2,13,2
201023,38,10,7,26,6
201024,17,7,3,7,6
201025,33,7,6,18,4
201026,30,8,5,16,6
201027,34,19,8,13,2
201028,72,8,7,27,5
201029,49,15,5,5,4
201030,32,5,4,4,4
201031,15,9,4,10,2
201032,24,2,1,3,2
201033,32,7,6,9,4
201034,11,22,7,10,6
201035,72,23,11,29,4
201036,41,3,1,5,2
201037,41,7,7,35,1
201038,36,9,8,4,1
201039,40,13,5,8,4
201040,30,29,28,6,2
201041,39,7,7,5,2
201042,58,18,13,26,8
201043,12,6,3,6,2
201044,72,3,3,5,4
201045,72,16,15,49,8
201046,25,8,4,11,5
201047,59,25,11,21,8
201048,15,10,8,33,12
201049,37,3,3,6,5
201050,39,6,5,12,5
201051,65,15,8,19,9
201052,41,13,9,10,5
201053,71,25,16,14,3
201054,43,7,7,25,8
201055,53,11,7,15,4
201056,65,3,3,14,6
201057,60,8,8,64,12
201058,37,16,9,25,7
201059,72,13,5,5,5
201060,64,12,6,12,4
201061,70,11,9,24,5
201062,64,6,6,9,3
201063,6,1,1,3,2
201064,72,7,6,7,4
201065,61,13,7,26,2
201066,25,2,1,3,3
201067,43,12,10,31,7
201068,34,20,5,5,3
201069,70,1,1,1,1
201070,72,13,6,4,3
